"city","data_source","Var_p","Var_W"
"Dakar","terraclimate",14158.8939811839,2589.04398113108
"Dalian","era5-land",30462.6091877378,34897.9027498414
"Dalian","gleam-v4-1a",NA,17794.015928277
"Dalian","mswep-v2-8",32337.9412,29982.1239315011
"Dalian","terraclimate",19767.0578010042,4457.59021775899
"Dallas","era5-land",49680.5209881607,35759.1413375793
"Dallas","gleam-v4-1a",NA,13830.0206854123
"Dallas","mswep-v2-8",44884.9104475159,24860.5599646406
"Dallas","terraclimate",28821.7999718816,6093.06459006342
"Damascus","era5-land",6332.68409867865,3679.23158118393
"Damascus","gleam-v4-1a",NA,5228.0193435518
"Damascus","mswep-v2-8",7005.46230798097,4471.22954862579
"Damascus","terraclimate",7721.45966950317,3098.44896717759
"Dar es Salaam","era5-land",41883.5626526427,26254.8846632135
"Dar es Salaam","gleam-v4-1a",NA,38498.7466158034
"Dar es Salaam","mswep-v2-8",40699.8321747886,26698.4671107822
"Dar es Salaam","terraclimate",51923.5862780127,22526.3142389006
"Delhi","era5-land",25703.7484119979,19494.6035511099
"Delhi","gleam-v4-1a",NA,23825.5573230444
"Delhi","mswep-v2-8",30579.6025957717,27399.0473338266
"Delhi","terraclimate",24169.8173342495,13707.6860725159
"Depok","era5-land",249176.948506712,239449.605388742
"Depok","gleam-v4-1a",NA,218059.637899524
"Depok","mswep-v2-8",183903.661062315,198020.231271247
"Depok","terraclimate",204581.286585412,163384.330534672
"Dhaka","era5-land",125672.795412051,142567.453520666
"Dhaka","gleam-v4-1a",NA,134499.601889641
"Dhaka","mswep-v2-8",128825.735015645,137265.326339271
"Dhaka","terraclimate",122290.542800581,121951.181639905
"Dongguan","era5-land",135006.123583668,142817.342782875
"Dongguan","gleam-v4-1a",NA,79885.7934162262
"Dongguan","mswep-v2-8",81266.0841451903,81335.3579950846
"Dongguan","terraclimate",79719.0261050211,72840.0861325053
"Douala","era5-land",112076.423889376,118615.875968446
"Douala","gleam-v4-1a",NA,521055.67152685
